,序号,一级流程,二级流程,三级流程,处罚企业名称,处罚企业简称,处罚决定书文号（如适用）,事件描述,相关法规（如适用）,处罚措施（如适用）,处罚金额（万元）（如适用）,处罚机关（如适用）,处罚地域,处罚日期（如适用）,事件发生日期,事件类型,事件信息源,是否影响业务范围,事件内控类型（如适用）,损失事件类型,事件损失等级,事件损失等级得分,维护日期,维护人,备注
606,388,运营支持,合规风险管理,外包风险管理,广州合利宝支付科技有限公司湖南分公司,,长银罚字〔2020〕第3号,9.未按规定报告外包服务机构情况。,《非金融机构支付服务管理办法》、《银行卡收单业务管理办法》,"对其采取限期改正，给予警告，没收违法所得11,750.01元,并处70万元罚款的行政处罚。",71,中国人民银行长沙中心支行,长沙,2020-04-22,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
607,389,客户管理,商户管理,商户资质审核及信息更新,北京钱袋宝支付技术有限单位呼和浩特市分公司,,蒙银罚字〔2020〕第4号,1.未按规定落实收单银行结算账户管理制度,,"罚款人民币贰拾陆万元
（￥260,000.00 元）",26,中国人民银行呼和浩特中心支行,呼和浩特,2020-04-12,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
608,389,客户管理,商户管理,商户资质审核及信息更新,北京钱袋宝支付技术有限单位呼和浩特市分公司,,蒙银罚字〔2020〕第4号,2.未严格落实特约商户资质审核制度,,"罚款人民币贰拾陆万元
（￥260,000.00 元）",26,中国人民银行呼和浩特中心支行,呼和浩特,2020-04-12,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
609,389,客户管理,商户管理,信息、交易记录、操作记录留存,北京钱袋宝支付技术有限单位呼和浩特市分公司,,蒙银罚字〔2020〕第4号,3.未严格落实档案管理制度,,"罚款人民币贰拾陆万元
（￥260,000.00 元）",26,中国人民银行呼和浩特中心支行,呼和浩特,2020-04-12,,,监管,否,执行层面,文件归档不符合监管或公司规定,重要(3),3.0,,,
610,389,客户管理,商户管理,商户资质审核及信息更新,北京钱袋宝支付技术有限单位呼和浩特市分公司,,蒙银罚字〔2020〕第4号,4.未完整留存受益所有人核实资料,,"罚款人民币贰拾陆万元
（￥260,000.00 元）",26,中国人民银行呼和浩特中心支行,呼和浩特,2020-04-12,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
611,390,客户管理,商户管理,商户资质审核及信息更新,随行付支付有限公司青海分公司,,（西中支）罚字〔2020〕第3号,1.特约商户合作协议内容及要素不完善,,"对该分公司罚款35.5万元,对申胤罚款2.4万元",37.9,中国人民银行西宁中心支行,西宁,2020-08-31,,,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
612,390,客户管理,商户管理,商户资质审核及信息更新,随行付支付有限公司青海分公司,,（西中支）罚字〔2020〕第3号,2.特约商户资质审核和实名制落实不到位,,"对该分公司罚款35.5万元,对申胤罚款2.4万元",37.9,中国人民银行西宁中心支行,西宁,2020-08-31,,,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
613,390,客户管理,商户管理,商户检查（包括服务商子商户）,随行付支付有限公司青海分公司,,（西中支）罚字〔2020〕第3号,3.未严格落实特约商户巡检制度,,"对该分公司罚款35.5万元,对申胤罚款2.4万元",37.9,中国人民银行西宁中心支行,西宁,2020-08-31,,,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
614,390,客户管理,商户管理,信息、交易记录、操作记录留存,随行付支付有限公司青海分公司,,（西中支）罚字〔2020〕第3号,4.未在特约商户入网前开展培训并留存相关记录,,"对该分公司罚款35.5万元,对申胤罚款2.4万元",37.9,中国人民银行西宁中心支行,西宁,2020-08-31,,,监管,否,执行层面,文件归档不符合监管或公司规定,严重(4),4.0,,,
615,390,客户管理,商户管理,商户资质审核及信息更新,随行付支付有限公司青海分公司,,（西中支）罚字〔2020〕第3号,5.与特约商户建立业务关系时未按规定识别特约商户身份,,"对该分公司罚款35.5万元,对申胤罚款2.4万元",37.9,中国人民银行西宁中心支行,西宁,2020-08-31,,,监管,否,设计层面,客户、产品和业务活动事件,严重(4),4.0,,,
616,390,客户管理,商户管理,商户资质审核及信息更新,随行付支付有限公司青海分公司,,（西中支）罚字〔2020〕第3号,6.与身份不明的客户进行交易。,,"对该分公司罚款35.5万元,对申胤罚款2.4万元",37.9,中国人民银行西宁中心支行,西宁,2020-08-31,,,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
617,391,客户管理,商户管理,商户资质审核及信息更新,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,1．未按规定落实资质审核,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
618,391,客户管理,商户管理,商户资质审核及信息更新,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,2．未按规定落实收单业务本地化经营和管 理责任,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
619,391,客户管理,商户管理,商户资质审核及信息更新,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,3．未按规定进行特约商户培训,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
620,391,客户管理,商户管理,商户资质审核及信息更新,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,4．未按规定发送收单交易信息,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
621,391,客户管理,商户管理,受理终端（网络支付接口管理）,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,5．未能采取有效管理措施造成特约商户违 规使用受理终端,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
622,391,运营支持,合规风险管理,外包风险管理,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,6．未按规定对外包业务进行管理,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
623,391,客户管理,商户管理,商户资质审核及信息更新,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,7．未按照规定履行客户身份识别义务,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
624,391,客户管理,商户管理,商户资质审核及信息更新,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,8．未按照规定报送大额交易和可疑交易报 告,《非金融机构支付服务管理办法》、《银行卡收单业务管理办法》,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
625,391,客户管理,商户管理,商户资质审核及信息更新,深圳瑞银信信息技术有限公司,,深人银罚〔2020〕11号,9．与身份不明的客户进行交易。,,深圳瑞银信信息技术有限公司（以下简称“瑞银信”）因九项违法违规行为被处罚人民币680.5万元，两名负责人同时被罚，韦洁（时任深圳瑞银信信息技术有限公司河南分公司负责人）罚款人民币11万元；安晨（深圳瑞银信信息技术有限公司河南分公司负责人）罚款9.5万元,701,中国人民银行深圳市中心支行,深圳,2020-07-03,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
626,392,运营支持,财务流程管理,备付金管理,国付宝信息科技有限公司,,银管罚〔2016〕4号,1.未按规定备案备付金银行账户开立、撤销信息,,罚款10万元,10,中国人民银行营业管理部,北京,2016-03-04,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
627,392,运营支持,财务流程管理,备付金管理,国付宝信息科技有限公司,,银管罚〔2016〕4号,2.未按规定存放客户备付金,,罚款10万元,10,中国人民银行营业管理部,北京,2016-03-04,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
628,392,运营支持,财务流程管理,备付金管理,国付宝信息科技有限公司,,银管罚〔2016〕4号,3.未按规定使用客户备付金,,罚款10万元,10,中国人民银行营业管理部,北京,2016-03-04,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
629,392,客户管理,商户管理,商户资质审核及信息更新,国付宝信息科技有限公司,,银管罚〔2016〕4号,4.未按规定建立并落实特约商户资质审核、档案管理等制度,,罚款10万元,10,中国人民银行营业管理部,北京,2016-03-04,,,监管,否,设计层面,客户、产品和业务活动事件,重要(3),3.0,,,
630,393,客户管理,商户管理,信息、交易记录、操作记录留存,易宝支付有限公司,,银管罚〔2016〕6号,1、特约商户实名制管理不到位、资质审核不严，部分商户档案不完整或未保存,,罚款15万元,15,中国人民银行营业管理部,北京,2016-05-10,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
631,393,运营支持,合规风险管理,外包风险管理,易宝支付有限公司,,银管罚〔2016〕6号,2.未自主完成特约商户资金结算，外包资金结算业务,,罚款15万元,15,中国人民银行营业管理部,北京,2016-05-10,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
632,393,交易管理,网络支付管理,交易监控,易宝支付有限公司,,银管罚〔2016〕6号,3.未按规定设置、发送收单交易信息,,罚款15万元,15,中国人民银行营业管理部,北京,2016-05-10,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
633,393,运营支持,财务流程管理,备付金管理,易宝支付有限公司,,银管罚〔2016〕6号,4.未按规定使用客户备付金,,罚款15万元,15,中国人民银行营业管理部,北京,2016-05-10,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
634,393,运营支持,财务流程管理,备付金管理,易宝支付有限公司,,银管罚〔2016〕6号,5.未按规定存放客户备付金,,罚款15万元,15,中国人民银行营业管理部,北京,2016-05-10,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
635,394,运营支持,合规风险管理,外包风险管理,上海卡友支付服务有限公司安徽分公司,,（合银）罚字〔2016〕11号,违规从事银行卡收单外包业务,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
636,394,客户管理,商户管理,受理终端（网络支付接口管理）,上海卡友支付服务有限公司安徽分公司,,（合银）罚字〔2016〕11号,将银行卡交易处理接口向未获得银行卡收单业务许可的机构开放,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
637,394,客户管理,商户管理,商户资质审核及信息更新,上海卡友支付服务有限公司安徽分公司,,（合银）罚字〔2016〕11号,未自主完成特约商户资质审核,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
638,394,交易管理,网络支付管理,交易结算,上海卡友支付服务有限公司安徽分公司,,（合银）罚字〔2016〕11号,未自主将资金清算至特约商户结算账户。,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
639,395,运营支持,合规风险管理,外包风险管理,通联支付网络服务股份有限公司安徽分公司,,（合银）罚字〔2016〕10号,违规从事银行卡收单外包业务,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
640,395,客户管理,商户管理,受理终端（网络支付接口管理）,通联支付网络服务股份有限公司安徽分公司,,（合银）罚字〔2016〕10号,将银行卡交易处理接口向未获得银行卡收单业务许可的机构开放,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
641,395,客户管理,商户管理,商户资质审核及信息更新,通联支付网络服务股份有限公司安徽分公司,,（合银）罚字〔2016〕10号,未自主完成特约商户资质审核,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
642,395,交易管理,网络支付管理,交易结算,通联支付网络服务股份有限公司安徽分公司,,（合银）罚字〔2016〕10号,未自主将资金清算至特约商户结算账户。,,依法对其罚款3万元,3,中国人民银行合肥中心支行,合肥,2016-05-26,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
643,1,交易管理,银行卡收单管理,交易结算,开店宝支付服务有限公司西藏分公司,,拉银罚字〔2020〕1号,违反银行卡收单业务管理相关规定。,,22万元罚款；对1名责任人处以1万元罚款。 ,22,中国人民银行拉萨中心支行,,2020-05-09,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
644,1,客户管理,商户管理,商户资质审核及信息更新,开店宝支付服务有限公司西藏分公司,,拉银罚字〔2020〕1号,违反客户身份识别相关规定。,,22万元罚款；对1名责任人处以1万元罚款。 ,22,中国人民银行拉萨中心支行,,2020-05-09,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
645,1,客户管理,商户管理,信息、交易记录、操作记录留存,开店宝支付服务有限公司西藏分公司,,拉银罚字〔2020〕1号,违反保存客户身份资料等相关规定。,,22万元罚款；对1名责任人处以1万元罚款。 ,22,中国人民银行拉萨中心支行,,2020-05-09,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
646,2,客户管理,商户管理,商户资质审核及信息更新,开店宝支付服务有限公司江苏分公司,,(南银)罚字〔2020〕第7号,1.未按规定落实特约商户实名制、收单银行结算账户管理、档案管理；,,罚款58万元,58,中国人民银行南京分行,,2020-02-26,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
647,2,交易管理,网络支付管理,交易处理,开店宝支付服务有限公司江苏分公司,,(南银)罚字〔2020〕第7号,2.未按规定设置、发送收单交易信息；,,罚款58万元,58,中国人民银行南京分行,,2020-02-26,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
648,2,客户管理,商户管理,商户检查（包括服务商子商户）,开店宝支付服务有限公司江苏分公司,,(南银)罚字〔2020〕第7号,3.未按规定开展客户身份持续识别。,,罚款58万元,58,中国人民银行南京分行,,2020-02-26,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
649,3,客户管理,商户管理,商户检查（包括服务商子商户）,姚顺（时任开店宝支付公司法定代表人）,,(南银)罚字〔2020〕第7号,对开店宝公司未按规定开展客户身份持续识别的违法违规行为负有责任。,,罚款2.5万元,2.5,中国人民银行南京分行,,2020-02-26,,个人事件,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
650,4,客户管理,商户管理,账户开立与账户管理,江苏大丰农村商业银行,,（南银）罚字〔2019〕第15号,违反《人民币银行结算账户管理办法》相关规定,,对单位给予警告，罚款人民币85万元整；对单位相关直接责任人员罚款人民币5万元整。,85,中国人民银行南京分行,,2019-08-02,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
651,4,交易管理,网络支付管理,条码管理,江苏大丰农村商业银行,,（南银）罚字〔2019〕第15号,违反《中国人民银行关于印发〈条码支付业务规范（试行）〉的通知》相关规定,,对单位给予警告，罚款人民币85万元整；对单位相关直接责任人员罚款人民币5万元整。,85,中国人民银行南京分行,,2019-08-02,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
652,4,交易管理,银行卡收单管理,交易结算,江苏大丰农村商业银行,,（南银）罚字〔2019〕第15号,违反《银行卡收单业务管理办法》相关规定,,对单位给予警告，罚款人民币85万元整；对单位相关直接责任人员罚款人民币5万元整。,85,中国人民银行南京分行,,2019-08-02,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
653,5,客户管理,商户管理,账户开立与账户管理,中国工商银行南京分行,,（南银）罚字〔2019〕第12号,违反《人民币银行结算账户管理办法》相关规定,,对单位给予警告，罚款人民币28万元整。,28,中国人民银行南京分行,,2019-07-03,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
654,5,交易管理,银行卡收单管理,交易结算,中国工商银行南京分行,,（南银）罚字〔2019〕第12号,违反《银行卡收单业务管理办法》相关规定,,对单位给予警告，罚款人民币28万元整。,28,中国人民银行南京分行,,2019-07-03,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
655,6,客户管理,商户管理,账户开立与账户管理,江苏省农村信用社联合社,,（南银）罚字〔2019〕第13号,违反《人民币银行结算账户管理办法》相关规定,,对单位给予警告，罚款人民币59万元；对单位相关直接责任人员罚款人民币5万元整。,59,中国人民银行南京分行,,2019-07-03,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
656,6,交易管理,网络支付管理,条码管理,江苏省农村信用社联合社,,（南银）罚字〔2019〕第13号,违反《中国人民银行关于印发〈条码支付业务规范（试行）〉的通知》相关规定,,对单位给予警告，罚款人民币59万元；对单位相关直接责任人员罚款人民币5万元整。,59,中国人民银行南京分行,,2019-07-03,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
657,7,交易管理,网络支付管理,交易结算,南京苏宁易付宝网络科技有限公司,,（南银）罚字〔2019〕第10号,违反《非金融机构支付服务管理办法》相关规定,,责令立即整改，罚款人民币4万元,4,中国人民银行南京分行,,2019-06-04,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
658,8,交易管理,网络支付管理,交易结算,双乾网络支付有限公司,,（南银）罚字〔2019〕第11号,违反《非金融机构支付服务管理办法》相关规定,,对单位违规行为责令立即整改，给予警告，没收违法所得人民币84952.22元，并处以人民币78万元罚款；对相关责任人给予警告，处以人民币5万元罚款。,78,中国人民银行南京分行,,2019-06-04,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
659,9,交易管理,网络支付管理,交易结算,中付支付科技有限公司南京分公司,,（南银）罚字〔2019〕第1号,违反《非金融机构支付服务管理办法》相关规定,,罚款人民币25万元,25,中国人民银行南京分行,,2019-01-16,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
660,10,交易管理,网络支付管理,交易结算,拉卡拉支付股份有限公司江苏分公司,,（南银）罚字〔2019〕第2号,违反《非金融机构支付服务管理办法》相关规定,,罚款人民币4万元,4,中国人民银行南京分行,,2019-01-16,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
661,11,交易管理,网络支付管理,交易结算,深圳瑞银信信息技术有限公司南京分公司,,（南银）罚字〔2019〕第3号,违反《非金融机构支付服务管理办法》相关规定,,罚款人民币22万元,22,中国人民银行南京分行,,2019-01-22,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
662,12,交易管理,网络支付管理,交易结算,南京市市民卡有限公司 ,,（南银）罚字〔2018〕第8号,违反非金融机构支付服务管理办法,,罚款人民币3万元,3,中国人民银行南京分行,,2018-03-30,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
663,13,交易管理,网络支付管理,交易结算,双乾网络支付有限公司  ,,（南银）罚字〔2018〕第7号,违反非金融机构支付服务管理办法,,罚款人民币4万元,4,中国人民银行南京分行,,2018-03-29,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
664,14,交易管理,网络支付管理,交易结算,江苏瑞祥商务有限公司,,（南银）罚字〔2018〕第9号,违反非金融机构支付服务管理办法,,罚款人民币4万元,4,中国人民银行南京分行,,2018-03-30,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
665,15,运营支持,合规风险管理,反洗钱合规管理,无锡市民卡有限公司,,（南银）罚字〔2017〕第5号,违反反洗钱规定,,对单位罚款人民币20万元。,20,中国人民银行南京分行,,2017-11-08,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
666,16,运营支持,合规风险管理,反洗钱合规管理,江苏瑞祥商务有限公司,,（南银）罚字〔2018〕11号,违反反洗钱规定,,对单位罚款人民币36万元。,36,中国人民银行南京分行,,2018-09-28,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
667,17,运营支持,合规风险管理,监管报送及披露,联通支付河北分公司,,银石罚字〔2020〕22号,未按规定办理相关备案手续,,对单位处罚款人民币2万元,2,中国人民银行石家庄中心支行,,2020-12-29,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
668,18,交易管理,网络支付管理,交易结算,平安付电子支付河北分公司,,银石罚字〔2020〕23号,1.未按规定落实收单业务本地化经营和管理责任；,,对单位处罚款人民币2万元,2,中国人民银行石家庄中心支行,,2020-12-29,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
669,18,运营支持,合规风险管理,监管报送及披露,平安付电子支付河北分公司,,银石罚字〔2020〕23号,2.未按规定办理相关备案手续。,,对单位处罚款人民币2万元,2,中国人民银行石家庄中心支行,,2020-12-29,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
670,19,客户管理,服务商管理,服务商信息存档,河北一卡通电子支付服务有限公司,,银石罚字〔2020〕24号,1.未按规定报送或保管相关资料；,,对单位处罚款人民币33万元,33,中国人民银行石家庄中心支行,,2020-12-29,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
671,19,交易管理,网络支付管理,交易结算,河北一卡通电子支付服务有限公司,,银石罚字〔2020〕24号,2.未按规定办理相关变更事项；,,对单位处罚款人民币33万元,33,中国人民银行石家庄中心支行,,2020-12-29,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
672,19,运营支持,财务流程管理,备付金管理,河北一卡通电子支付服务有限公司,,银石罚字〔2020〕24号,3.未按规定存放或使用客户备付金；,,对单位处罚款人民币33万元,33,中国人民银行石家庄中心支行,,2020-12-29,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
673,19,交易管理,网络支付管理,交易结算,河北一卡通电子支付服务有限公司,,银石罚字〔2020〕24号,4.其他危及支付机构稳健运行、损害客户合法权益或危害支付服务市场的违法违规行为。,,对单位处罚款人民币33万元,33,中国人民银行石家庄中心支行,,2020-12-29,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
674,20,交易管理,银行卡收单管理,交易结算,银盛支付服务股份有限公司河北分公司,,银石罚字〔2019〕11号,违反银行卡收单业务管理规定,,处以罚款168万元,168,中国人民银行石家庄中心支行,,2019-11-01,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
675,21,交易管理,银行卡收单管理,交易结算,付临门支付有限公司河北分公司,,银石罚字〔2019〕1号,违反银行卡收单业务管理规定,,处以罚款人民币38万元,38,中国人民银行石家庄中心支行,,2019-01-31,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
676,22,交易管理,银行卡收单管理,交易结算,杉德支付网络服务发展有限公司河北分公司,,银石罚字〔2019〕2号,违反银行卡收单业务管理规定,,处以罚款人民币34万元,34,中国人民银行石家庄中心支行,,2019-01-31,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
677,23,交易管理,银行卡收单管理,交易结算,上海汇付数据服务有限公司石家庄分公司,,银石罚字〔2019〕3号,违反银行卡收单业务管理规定,,处以罚款人民币6万元,6,中国人民银行石家庄中心支行,,2019-01-31,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
678,24,交易管理,银行卡收单管理,交易结算,福建国通星驿网络科技有限公司河北分公司,,银石罚字〔2019〕4号,违反银行卡收单业务管理规定,,处以罚款人民币8万元,8,中国人民银行石家庄中心支行,,2019-01-31,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
679,25,交易管理,银行卡收单管理,交易结算,易生支付有限公司石家庄分公司,,银石罚字〔2019〕5号,违反银行卡收单业务管理规定,,处以罚款人民币6万元,6,中国人民银行石家庄中心支行,,2019-01-31,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
680,26,交易管理,银行卡收单管理,交易结算,嘉联支付有限公司河北分公司,,银石罚字〔2018〕38号,违反银行卡收单业务管理规定,,处以罚款人民币3万元,3,中国人民银行石家庄中心支行,,2018-12-21,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
681,27,交易管理,银行卡收单管理,交易结算,乐刷科技有限公司石家庄分公司,,银石罚字〔2018〕39号,违反银行卡收单业务管理规定,,处以罚款人民币7万元,7,中国人民银行石家庄中心支行,,2018-12-21,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
682,28,客户管理,商户管理,商户资质审核及信息更新,河北北人冀通支付服务有限公司,,银石罚字〔2018〕第8号,未按规定履行客户身份识别义务,,2016年9月1日至2018年7月30日期间，河北北人冀通支付服务有限公司未按照规定履行反洗钱义务，根据《中华人民共和国反洗钱法》第三十二条第一款第（一）、（四）项，对单位处以人民币36万元罚款，并对1名高级管理人员、1名直接责任人，分别处以人民币3.4万元罚款，共计罚款人民币42.8万元。,36,中国人民银行石家庄中心支行,,2018-12-04,,个人事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
